,title,url
0,Pythonかんたん文字列処理（ルビ付きHTML出力）,https://crowdworks.jp/public/jobs/6083243
1,画像を認識して結果をSlackへ投稿するスクリプト作成 (SJTS),https://crowdworks.jp/public/jobs/6082469
2,AmazonのSP-APIを利用した情報取得,https://crowdworks.jp/public/jobs/6081273
3,住まいに関する資金のシュミレーションプログラムのビジネスロジックモジュール開発の依頼,https://crowdworks.jp/public/jobs/6079067
4,リスト作成をお願いします！（複数名採用）,https://crowdworks.jp/public/jobs/6075623
5,SNS自動投稿システムの構築,https://crowdworks.jp/public/jobs/6074796
6,Twitterフォロワーリスト作成をお願いします！（複数名採用）,https://crowdworks.jp/public/jobs/6074681
7,データ分析・集計・加工、データ分析基盤構築できる方募集,https://crowdworks.jp/public/jobs/6074664
8,"Python,Seleniumを利用したスクレピングツールの開発依頼",https://crowdworks.jp/public/jobs/6074061
9,AliExpressの商品データ情報を自動取得するツールの作成,https://crowdworks.jp/public/jobs/6069160
10,マッチングサイト,https://crowdworks.jp/public/jobs/2184092
11,マッチングサイト,https://crowdworks.jp/public/jobs/2181425
12,GASまたはサーバレスアーキテクチャを用いた、クローラー・スクレイピングの実装 UIはスプレッドシートのみ,https://crowdworks.jp/public/jobs/6068780
13,【フルリーモート＆副業】Dockerを使ったインフラに詳しい方お助けください。,https://crowdworks.jp/public/jobs/6067369
14,【完全在宅/副収入◎/教育】 Python/AI学習をサポートするメンター（講師）業務の募集！（※Pythonのみ応募も可）,https://crowdworks.jp/public/jobs/6064560
15,動画配信サイト構築のデザイン組み込み,https://crowdworks.jp/public/jobs/2066925
16,マッチングアプリ制作,https://crowdworks.jp/public/jobs/2471514
17,フリマ構築CMSを使ったフリマサイトカスタマイズ,https://crowdworks.jp/public/jobs/2427982
18,Mallentoを使ったマッチングサイトカスタマイズ,https://crowdworks.jp/public/jobs/2330230
19,CakePHPで構築されたCMSへのデザイン組み込み,https://crowdworks.jp/public/jobs/4372228
20,Mallento（マレント）へのデザイン組み込み,https://crowdworks.jp/public/jobs/4346369
21,【MAC】マニュアル作成（システムの設定と操作方法）,https://crowdworks.jp/public/jobs/6062904
22,ラズベリーパイの開発案件、組込とpythonに詳しい方お願いします。,https://crowdworks.jp/public/jobs/6054213
23,ArtGridから、ジャンルごとに動画素材をダウンロードし、googleドライブにアップロードする,https://crowdworks.jp/public/jobs/5944058
24,[不動産AI物件評価システムの開発],https://crowdworks.jp/public/jobs/6049300
25,Amazon SP-APIを使用した情報取得,https://crowdworks.jp/public/jobs/6043169
26,【フルリーモート＆副業】Saasシステムの要件定義と開発のマネージメント,https://crowdworks.jp/public/jobs/6043120
27,OpenCVを使った画像処理ソフトの設計検討,https://crowdworks.jp/public/jobs/6081614
28,Python（他のご提案も歓迎）単体スクリプト、テキストを検索し、キーワードの有無を判定【リモートOK】,https://crowdworks.jp/public/jobs/6073162
29,【Python】Chatworkバックアップツール作成,https://crowdworks.jp/public/jobs/6072778
30,大人になってから趣味として「プログラミング」を始めた方、その魅力を教えて下さい,https://crowdworks.jp/public/jobs/6065007
31,株情報サイトの更新チェック,https://crowdworks.jp/public/jobs/6059632
32,【Pythonで簡単】GCPから出力された、responseデータを、Dictとjsonに変換！,https://crowdworks.jp/public/jobs/6058567
33,ネットワーク分析に興味があるひと！！！,https://crowdworks.jp/public/jobs/6058391
34,Python3で制作・運用中Webアプリ2つの引き継ぎ・追加開発,https://crowdworks.jp/public/jobs/6055190
35,Binance apiを使用したbotの作成,https://crowdworks.jp/public/jobs/6051323
36,証券会社にログインして、検索して数字をひっぱってくるシステム,https://crowdworks.jp/public/jobs/6046420
37,メルカリ、ヤフオクからのアイテム検出ツールを作成してほしいです。,https://crowdworks.jp/public/jobs/6042764
38,メルカリ、ヤフオクからのアイテム検出ツールを作成してほしいです。,https://crowdworks.jp/public/jobs/6041635
39,機械学習（AI）を活用した、エンジニアの学習者向け技術ブログの作成,https://crowdworks.jp/public/jobs/5696899
40,Pythonのオンライン指導,https://crowdworks.jp/public/jobs/6040755
41,オンライン ショップ ネット shop 通販 サイト 自動購入 Bot作成依頼 ツール システム 開発 拡張機能,https://crowdworks.jp/public/jobs/4752384
42,【機械学習・画像分類】画像から数値データ化を行う,https://crowdworks.jp/public/jobs/6037868
43,【スクレイピング】情報収集ツール作成作業,https://crowdworks.jp/public/jobs/6037516
44,各種運用中のWebサイト（CentOS/MySQL/PHP等）の新規機能追加、機能修正、バグ対応等,https://crowdworks.jp/public/jobs/6037060
45,【在宅OK】メディア関連の開発・解析のプログラマ・エンジニア(実務未経験可・子育てママパパ大歓迎),https://crowdworks.jp/public/jobs/6036512
46,WEBシステム開発のご経験者募集,https://crowdworks.jp/public/jobs/6034337
47,"Pythonで構築したシステムをVisualStudio(C#,C++など）で扱えるライブラリ化（DLL）コンサルティング",https://crowdworks.jp/public/jobs/6031550
48,テレコム系システムのプログラム開発,https://crowdworks.jp/public/jobs/6031835
49,データベースサイトからスクレイピングとPDFのダウンロード,https://crowdworks.jp/public/jobs/6031054
50,【0.5人月程度】NUXT.jsを使ったwebアプリ開発+Pythonでのバックエンド開発/オフショアOK,https://crowdworks.jp/public/jobs/6025795
